Institution_ID,Institution_Name,Institution_City
105710,Oxnard College,Oxnard
105729,Hope International University,Fullerton
105738,Concorde Career College,San Diego
105747,Palo Alto University,Palo Alto
105765,Pacific Oaks College,Pasadena
105774,Pacific School of Religion,Berkeley
105783,Pacific States University,Los Angeles
105792,Pacific Union College,Angwin
105808,University of the Pacific,Stockton
105817,Pacoima Skills Center,Pacoima
105835,Palo Verde College,Blythe
105844,Palomar College,San Marcos
105862,Paris Beauty College,Concord
105871,Pasadena City College,Pasadena
105880,Patten University,Oakland
105899,Peninsula Medical Center/Mills-Peninsula Health Services,Burlingame
105905,Pepperdine University,Malibu
105923,Pitzer College,Claremont
105932,Platt College-San Diego,San Diego
105941,Point Loma Nazarene University,San Diego
105950,Pomona College,Claremont
105969,Porterville College,Porterville
105978,Westwood College - Long Beach,Long Beach
105987,Professional Institute of Beauty,El Monte
105996,Queen of the Holy Rosary College,Fremont
106014,Santa Ana College,Santa Ana
106023,Pardee Rand Graduate School of Policy Studies,Santa Monica
106032,University of Redlands,Redlands
106041,College of the Redwoods,Eureka
106050,Salon Success Academy - Upland,Upland
106069,Salon Success Academy,Corona
106078,Rio Hondo College,Whittier
106087,Riverside City College,Riverside
106102,Rosemead Beauty School,Rosemead
106111,Dongguk University - Los Angeles,Los Angeles
106120,Sacramento City College,Sacramento
106139,Saddleback College,Mission Viejo
106157,Saint Patrick's Seminary and University,Menlo Park
106166,Salvation Army College for Officer Training at Crestmont,Rancho Palos Verdes
106175,Samra University of Oriental Medicine,Los Angeles
106184,Samuel Merritt University,Oakland
106209,San Diego City College,San Diego
106227,San Diego Mesa College,San Diego
106236,San Diego Miramar College,San Diego
106245,San Diego State University,San Diego
106254,University of San Diego,San Diego
106263,San Francisco Art Institute,San Francisco
106272,San Francisco Conservatory of Music,San Francisco
106281,San Francisco State University,San Francisco
106290,San Francisco Theological Seminary,San Anselmo
106306,University of San Francisco,San Francisco
106315,San Joaquin College of Law,Clovis
106324,San Joaquin Delta College,Stockton
106333,San Joaquin General Hospital,French Camp
106342,San Joaquin Valley College,Visalia
106360,William Jessup University,Rocklin
106388,San Jose City College,San Jose
106397,San Jose State University,San Jose
106412,College of San Mateo,San Mateo
106421,Santa Barbara Business College - Bakersfield,Bakersfield
106449,Santa Barbara Business College - Santa Maria,Santa Maria
106458,Santa Barbara City College,Santa Barbara
106467,Santa Clara University,Santa Clara
106476,Santa Monica College,Santa Monica
106485,Santa Rosa Junior College,Santa Rosa
106494,Saybrook University,San Francisco
106500,Scripps College,Claremont
106528,WyoTech - Fremont,Fremont
106537,College of the Sequoias,Visalia
106546,Shasta Bible College & Graduate School,Redding
106555,Shasta College,Redding
106564,Sierra College,Rocklin
106573,Sierra College of Beauty,Merced
106582,Sierra Valley College of Court Reporting,Fresno
106607,Simpson University,Redding
106616,College of the Siskiyous,Weed
106625,Charles A. Jones Skills and Business Education Center,Sacramento
106634,Skyline College,San Bruno
106643,San Bernardino Valley College,San Bernardino
106652,Saint Mary's College of California,Moraga
106661,Solano Community College,Fairfield
106670,Sonoma State University,Rohnert Park
106689,Pinnacle College,Alhambra
106698,South Baylo University,Anaheim
106704,South Coast College,Orange
106713,Vanguard University of Southern California,Costa Mesa
106722,Concorde Career College,Garden Grove
106731,Southwestern College,Chula Vista
106740,Saint Johns Seminary,Camarillo
106759,St. Giles College,San Francisco
106768,Starr King School for Ministry,Berkeley
106786,Southern California College of Optometry,Fullerton
106795,Southern California Institute of Architecture,Los Angeles
106801,University of Southern California,Los Angeles
106810,Southwestern Law School,Los Angeles
106829,Taft College,Taft
106838,Cambridge Junior College - Yuba City,Yuba City
106847,Claremont School of Theology,Claremont
106856,Thomas Aquinas College,Santa Paula
106865,Marinello School of Beauty - Lake Forest,Lake Forest
106874,Travel and Trade Career Institute,Long Beach
106883,Travel University International,San Diego
106892,Epic Bible College and Graduate School,Sacramento
106908,Truck Marketing Institute,Carpinteria
106944,Concorde Career College,San Bernardino
106953,Universal College of Beauty Inc,Los Angeles
106962,Vallecitos CET Inc,Hayward
106971,Concorde Career College,North Hollywood
106999,Ventura College,Ventura
107008,Bridges Beauty College,Victorville
107017,Victor Valley College,Victorville
107026,Berkeley City College,Berkeley
107044,Walden University,Minneapolis
107053,Maxine Waters Employment Preparation Center,Los Angeles
107062,West Hills College - Coalinga,Coalinga
107071,West Los Angeles College,Culver City
107080,The University of West Los Angeles,Inglewood
107099,West Valley College,Saratoga
107105,West Valley Occupational Center,Woodland Hills
107114,Carrington College California - Sacramento,Sacramento
107123,Westminster Seminary California,Escondido
107132,Westmont College,Santa Barbara
107141,Whittier College,Whittier
107150,William Howard Taft University,Denver
107169,Woodbury University,Burbank
107178,The Wright Institute,Berkeley
107187,Western State University - College of Law,Fullerton
107196,Thomas Jefferson School of Law,San Diego
107202,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,Los Angeles
107220,Yuba College,Marysville
107239,The Salon Professional Academy - Grand Junction,Grand Junction
107248,Adams State University,Alamosa
107257,Aims Community College,Greeley
107275,Arapahoe Community College,Littleton
107284,Bel-Rea Institute of Animal Technology,Denver
107293,Everest College - Colorado Springs,Colorado Springs
107309,Boulder College of Massage Therapy,Boulder
107318,Memorial Hospital,Colorado Springs
107327,University of Colorado Denver,Aurora
107345,University of Colorado at Colorado Springs,Colorado Springs
107354,Redstone College,Broomfield
107363,University of Colorado at Boulder,Boulder
107372,Colorado Christian University,Lakewood
107381,Colorado College,Colorado Springs
107390,Concorde Career College - Aurora,Aurora
107406,The Art Institute of Colorado,Denver
107415,Colorado Mountain College,Glenwood Springs
107424,Colorado Northwestern Community College,Rangely
107433,Colorado School of Mines,Golden
107442,Colorado School of Trades,Lakewood
107451,Colorado State University,Fort Collins
107460,Colorado Technical University,Colorado Springs
107488,Community College of Aurora,Aurora
107497,CollegeAmerica - Denver,Denver
107503,Delta Montrose Technical College,Delta
107521,Community College of Denver,Denver
107530,Lincoln College of Technology - Denver,Denver
107549,Denver Seminary,Littleton
107567,University of Denver,Denver
107576,Emily Griffith Technical College,Denver
107585,Fort Lewis College,Durango
107594,Front Range Community College,Westminster
107600,Glenwood Beauty Academy,Glenwood Springs
107619,Hair Dynamics Education Center,Fort Collins
107628,Iliff School of Theology,Denver
107637,International Beauty Academy,Colorado Springs
107646,Lamar Community College,Lamar
107655,Colorado Mesa University,Grand Junction
107664,Metropolitan State University of Denver,Denver
107673,Morgan Community College,Fort  Morgan
107682,Naropa University,Boulder
107716,Nazarene Bible College,Colorado Springs
107725,Northeastern Junior College,Sterling
107734,University of Northern Colorado,Greeley
107743,Otero Junior College,La Junta
107752,Everest College - Thornton,Thornton
107761,Pikes Peak Community College,Colorado Springs
107770,IBMC College,Colorado Springs
107789,Pueblo Community College,Pueblo
107798,Red Rocks Community College,Lakewood
107804,Regis University,Denver
107813,Rocky Mountain College of Art and Design,Denver
107822,Montessori Education Center of the Rockies,Boulder
107831,San Juan Basin Technical College,Mancos
107840,Colorado State University - Pueblo,Pueblo
107859,Pickens Technical College,Aurora
107868,IntelliTec College - Colorado Springs,Colorado Springs
107877,IntelliTec College - Grand Junction,Grand Junction
107886,Empire Beauty School - Westminster,Westminster
107895,Trinidad State Junior College,Trinidad
107938,Western State College of Colorado,Gunnison
107947,Yeshiva Toras Chaim Talmudical Seminary,Denver
107956,Albertus Magnus College,New Haven
107965,Paul Mitchell The School - Danbury,Danbury
107974,Asnuntuck Community College,Enfield
107983,Bais Binyomin Academy,Stamford
107992,Branford Hall Career Institute - Branford Campus,Branford
108001,Lincoln College of New England,Southington
108010,Bridgeport Hospital,Bridgeport
108029,University of Bridgeport,Bridgeport
108038,Butler Business School Inc,Bridgeport
108047,Central Connecticut State University,New Britain
108056,Charter Oak State College,New Britain
108065,Connecticut Center for Massage Therapy - Newington,Newington
108074,Connecticut College,New London
108092,Porter and Chester Institute of Branford,Branford
108108,University of Connecticut,Storrs
108117,Danbury Hospital,Danbury
108126,Goodwin College,East Hartford
108135,Lincoln Technical Institute - East Windsor,East Windsor
108144,Eastern Connecticut State University,Willimantic
108153,Fairfield University,Fairfield
108162,Paul Mitchell the School North Haven,North Haven
108171,Capital Community College,Hartford
108199,Hartford Conservatory,Hartford
108205,American Institute,West Hartford
108214,Hartford Seminary,Hartford
108223,University of Hartford,West Hartford
108232,Holy Apostles College and Seminary,Cromwell
108241,Housatonic Community College,Bridgeport
108269,Leon Institute of Hair Design,Bridgeport
108278,Lyme Academy College of Fine Arts,Old Lyme
108287,Manchester Community College,Manchester
108296,Naugatuck Valley Community College,Waterbury
108302,Middlesex Community College - Middletown,Middletown
108311,Mitchell College,New London
108320,Three Rivers Community College,Norwich
108339,Renasci Academy of Hair Inc,Milford
108348,Lincoln Technical Institute - New Britain,New Britain
108357,New England Tractor Trailer Training School of Connecticut,Somers
108366,University of New Haven,West Haven
108375,Ridley-Lowell Business and Technical Institute - New London,New London
108384,Norwalk Community College,Norwalk
108393,Northwestern Connecticut Community College,Winsted
108409,Paier College of Art Inc,Hamden
108418,Marinello School of Beauty,Meriden
108445,Porter and Chester Institute - Stratford,Stratford
108454,Post University,Waterbury
108463,Quinebaug Valley Community College,Danielson
108472,Quinnipiac University,Hamden
108481,Sacred Heart University,Fairfield
108506,University of Saint Joseph,West Hartford
108515,Hospital of St. Raphael,New Haven
